Mois,Livrables conformes,Livrables dans la tolérance,Livrables non-conformes
Jan 2024,225,0,0
Jan 2024,6,0,6
Jan 2024,4,0,0
Jan 2024,233,0,0
Jan 2024,1,0,0
Jan 2024,6,0,0
Jan 2024,132,0,216
Jan 2024,1,0,0
Jan 2024,1,0,0
Jan 2024,46,0,18
Jan 2024,38,0,0
Jan 2024,7,0,0
Jan 2024,124,0,0
Jan 2024,468,0,0
Jan 2024,46,0,0
Jan 2024,60,0,0
Jan 2024,420,0,0
Jan 2024,172,0,0
Jan 2024,57,0,0
Jan 2024,1417,0,0
Jan 2024,249,0,0
Jan 2024,331,0,0
Jan 2024,1058,0,0
Jan 2024,4,0,4
Jan 2024,214,0,0
Jan 2024,3,0,0
Jan 2024,5,0,0
Jan 2024,3,0,0
Jan 2024,128,0,0
Jan 2024,13,0,0
Jan 2024,9,0,0
Jan 2024,1,0,0
Jan 2024,74,0,0
Jan 2024,9,0,0
Jan 2024,138,0,0
Jan 2024,1446,0,0
Jan 2024,175,0,4
Jan 2024,0,0,0
Jan 2024,3954,0,13
Jan 2024,993,0,0
Jan 2024,495,0,0
Jan 2024,1097,0,0
Jan 2024,525,0,0
Jan 2024,241,0,0
Jan 2024,217,0,0
Jan 2024,501,0,0
Jan 2024,94,0,0
Jan 2024,0,0,0
Jan 2024,1423,0,9
Jan 2024,12,0,0
Jan 2024,5,0,0
Jan 2024,1,0,0
Jan 2024,17,0,0
Jan 2024,16,0,0
Jan 2024,9,0,0
Jan 2024,847,0,0
Jan 2024,0,0,0
Jan 2024,83,0,0
Jan 2024,74,0,0
Jan 2024,278,0,0
Jan 2024,2539,0,0
Jan 2024,82,0,0
Jan 2024,1,0,0
Jan 2024,0,0,0
Jan 2024,483,0,0
Jan 2024,207,0,0
Jan 2024,373,0,0
Jan 2024,6,0,0
Jan 2024,8,0,0
Jan 2024,2,0,0
Jan 2024,1,0,0
Jan 2024,2,0,0
Jan 2024,1,0,0
Jan 2024,11,0,0
Jan 2024,3,0,0
Jan 2024,302,0,0
Jan 2024,91,0,0
Jan 2024,1,0,0
Jan 2024,54,0,0
Jan 2024,780,0,0
Jan 2024,222,0,0
Jan 2024,345,0,0
Jan 2024,92,0,0
Jan 2024,61,0,0
Jan 2024,2,0,2
Jan 2024,32,0,0
Jan 2024,104,0,0
Jan 2024,325,0,0
Jan 2024,34,0,0
Jan 2024,1,0,0
Jan 2024,0,0,0
Jan 2024,8,0,0
Jan 2024,56,0,0
Jan 2024,95,0,6
Jan 2024,100,0,0
Jan 2024,100,0,0
Jan 2024,0,0,0
Jan 2024,1,0,1
Jan 2024,5,1,0
Jan 2024,6,0,0
Jan 2024,3,0,2
Jan 2024,0,0,3
Jan 2024,2,0,0
Jan 2024,9,0,0
Jan 2024,5,0,0
Jan 2024,22,0,0
Jan 2024,2,0,0
Jan 2024,19,0,0
Jan 2024,9,0,0
Jan 2024,1,0,0
Jan 2024,1,0,0
Jan 2024,2,0,0
Jan 2024,4,0,4
Jan 2024,20,0,0
Jan 2024,22,0,0
Jan 2024,4946,0,0
Jan 2024,8,0,2
Jan 2024,100,0,0
Jan 2024,100,0,0
Jan 2024,87,0,13
Jan 2024,100,0,0
Jan 2024,107,0,0
Jan 2024,0,0,0
Jan 2024,1090,0,222
Jan 2024,0,0,0
Fev 2024,1,0,0
Fev 2024,1,0,6
Fev 2024,14,0,0
Fev 2024,161,0,94
Fev 2024,174,0,0
Fev 2024,1,0,0
Fev 2024,360,0,0
Fev 2024,15,0,0
Fev 2024,161,0,61
Fev 2024,0,0,0
Fev 2024,5,0,1
Fev 2024,185,0,0
Fev 2024,33,0,0
Fev 2024,75,0,0
Fev 2024,0,0,0
Fev 2024,0,0,0
Fev 2024,16,0,0
Fev 2024,98,0,0
Fev 2024,4,0,0
Fev 2024,6,0,0
Fev 2024,10,0,0
Fev 2024,8,0,0
Fev 2024,3,0,0
Fev 2024,664,0,0
Fev 2024,694,0,0
Fev 2024,519,0,0
Fev 2024,72,0,0
Fev 2024,398,0,0
Fev 2024,953,0,0
Fev 2024,141,0,0
Fev 2024,30,0,0
Fev 2024,17,0,0
Fev 2024,948,0,0
Fev 2024,47,0,1
Fev 2024,0,0,0
Fev 2024,18,0,0
Fev 2024,12,0,0
Fev 2024,0,0,0
Fev 2024,100,0,0
Fev 2024,419,0,0
Fev 2024,434,0,0
Fev 2024,92,0,0
Fev 2024,43,0,0
Fev 2024,52,0,10
Fev 2024,1200,0,0
Fev 2024,201,0,0
Fev 2024,13,0,0
Fev 2024,1338,0,29
Fev 2024,1,0,0
Fev 2024,1,0,0
Fev 2024,1,0,0
Fev 2024,127,0,0
Fev 2024,56,0,0
Fev 2024,1,0,0
Fev 2024,1,0,0
Fev 2024,1,0,0
Fev 2024,10,0,0
Fev 2024,12,0,0
Fev 2024,54,0,0
Fev 2024,239,0,0
Fev 2024,232,0,0
Fev 2024,2,0,0
Fev 2024,8,0,0
Fev 2024,2,0,0
Fev 2024,5031,0,1
Fev 2024,2,0,2
Fev 2024,0,0,3
Fev 2024,2,0,0
Fev 2024,7,0,0
Fev 2024,3,0,0
Fev 2024,19,0,0
Fev 2024,2,0,0
Fev 2024,90,0,0
Fev 2024,6,0,0
Fev 2024,3,0,0
Fev 2024,2,0,0
Fev 2024,3,0,0
Fev 2024,5,0,4
Fev 2024,1251,0,0
Fev 2024,328,0,0
Fev 2024,191,0,0
Fev 2024,16,0,0
Fev 2024,399,0,0
Fev 2024,0,0,0
Fev 2024,122,0,0
Fev 2024,2989,0,0
Fev 2024,100,0,0
Fev 2024,10,0,0
Fev 2024,16,0,0
Fev 2024,1,0,0
Fev 2024,2,0,0
Fev 2024,2,0,0
Fev 2024,7,0,0
Fev 2024,11,0,0
Fev 2024,1,0,0
Fev 2024,2,0,0
Fev 2024,1176,0,0
Fev 2024,216,0,0
Fev 2024,214,0,0
Fev 2024,1322,0,0
Fev 2024,163,0,5
Fev 2024,86,0,0
Fev 2024,366,0,0
Fev 2024,496,0,0
Fev 2024,970,0,0
Fev 2024,363,0,0
Fev 2024,465,0,0
Fev 2024,39,0,0
Fev 2024,33,0,0
Fev 2024,8535,0,0
Fev 2024,4,0,0
Fev 2024,0,0,0
Fev 2024,365,0,0
Fev 2024,64,0,0
Fev 2024,106,0,0
Fev 2024,56,0,0
Fev 2024,11,0,0
Fev 2024,0,0,0
Fev 2024,97,0,3
Fev 2024,100,0,0
Fev 2024,90,0,10
Fev 2024,102,0,4
Fev 2024,0,0,0
Fev 2024,1059,0,256
Fev 2024,0,0,0
Fev 2024,100,0,0
Fev 2024,0,0,0
Mar 2024,427,0,0
Mar 2024,12,0,0
Mar 2024,256,0,41
Mar 2024,1,0,0
Mar 2024,586,0,0
Mar 2024,505,0,0
Mar 2024,575,0,0
Mar 2024,93,0,0
Mar 2024,1,0,0
Mar 2024,9,0,0
Mar 2024,13,0,0
Mar 2024,52,0,7
Mar 2024,221,0,0
Mar 2024,1524,0,16
Mar 2024,195,0,131
Mar 2024,1,0,0
Mar 2024,57,0,0
Mar 2024,14,0,0
Mar 2024,3,0,0
Mar 2024,9,0,0
Mar 2024,5,0,0
Mar 2024,4,0,0
Mar 2024,154,0,0
Mar 2024,14,0,0
Mar 2024,9,0,0
Mar 2024,897,0,0
Mar 2024,1,0,0
Mar 2024,0,0,0
Mar 2024,13,0,0
Mar 2024,5,0,0
Mar 2024,16,0,0
Mar 2024,10,0,0
Mar 2024,144,0,0
Mar 2024,2,0,0
Mar 2024,32,0,0
Mar 2024,2,0,0
Mar 2024,1,0,0
Mar 2024,2,0,0
